line_index,Player,gender
1624,PRINCE,Male
1625,PRINCE,Male
1626,PRINCE,Male
1627,PRINCE,Male
1628,PRINCE,Male
1629,PRINCE,Male
1630,PRINCE,Male
1631,JULIET,Female
1632,JULIET,Female
1633,JULIET,Female
1634,JULIET,Female
1635,JULIET,Female
1636,JULIET,Female
1637,JULIET,Female
1638,JULIET,Female
1639,JULIET,Female
1640,JULIET,Female
1641,JULIET,Female
1642,JULIET,Female
1643,JULIET,Female
1644,JULIET,Female
1645,JULIET,Female
1646,JULIET,Female
1647,JULIET,Female
1648,JULIET,Female
1649,JULIET,Female
1650,JULIET,Female
1651,JULIET,Female
1652,JULIET,Female
1653,JULIET,Female
1654,JULIET,Female
1655,JULIET,Female
1656,JULIET,Female
1657,JULIET,Female
